The calculated speed of the ISS on step 1 is 7.657947152186705, average speed is 7.6579
The calculated speed of the ISS on step 2 is 7.6579424961291, average speed is 7.6579
The calculated speed of the ISS on step 3 is 7.657937914555252, average speed is 7.6579
The calculated speed of the ISS on step 4 is 7.657933341114415, average speed is 7.6579
The calculated speed of the ISS on step 5 is 7.65792877539083, average speed is 7.6579
The calculated speed of the ISS on step 6 is 7.657926570638874, average speed is 7.6579
The calculated speed of the ISS on step 7 is 7.65792194160107, average speed is 7.6579
The calculated speed of the ISS on step 8 is 7.657917395308187, average speed is 7.6579
The calculated speed of the ISS on step 9 is 7.657912856630944, average speed is 7.6579
The calculated speed of the ISS on step 10 is 7.657908325194399, average speed is 7.6579
The calculated speed of the ISS on step 11 is 7.657906145998758, average speed is 7.6579
The calculated speed of the ISS on step 12 is 7.657901541671434, average speed is 7.6579
The calculated speed of the ISS on step 13 is 7.657897028235495, average speed is 7.6579
The calculated speed of the ISS on step 14 is 7.657892521683677, average speed is 7.6579
The calculated speed of the ISS on step 15 is 7.65788802198476, average speed is 7.6579
The calculated speed of the ISS on step 16 is 7.65788586598377, average speed is 7.6579
The calculated speed of the ISS on step 17 is 7.657881284812369, average speed is 7.6579
The calculated speed of the ISS on step 18 is 7.657876801565903, average speed is 7.6579
The calculated speed of the ISS on step 19 is 7.657872324831474, average speed is 7.6579
The calculated speed of the ISS on step 20 is 7.65787018538919, average speed is 7.6579
The calculated speed of the ISS on step 21 is 7.657865620933833, average speed is 7.6579
The calculated speed of the ISS on step 22 is 7.657861159473176, average speed is 7.6579
The calculated speed of the ISS on step 23 is 7.657856703638389, average speed is 7.6579
The calculated speed of the ISS on step 24 is 7.657852253667304, average speed is 7.6579
The calculated speed of the ISS on step 25 is 7.657850134512461, average speed is 7.6579
The calculated speed of the ISS on step 26 is 7.657845589518451, average speed is 7.6579
The calculated speed of the ISS on step 27 is 7.657841153424705, average speed is 7.6579
The calculated speed of the ISS on step 28 is 7.657836722781703, average speed is 7.6579
The calculated speed of the ISS on step 29 is 7.657834617408655, average speed is 7.6579
The calculated speed of the ISS on step 30 is 7.657830086379303, average speed is 7.6579
The calculated speed of the ISS on step 31 is 7.657825668325801, average speed is 7.6579
The calculated speed of the ISS on step 32 is 7.6578212552362, average speed is 7.6579
The calculated speed of the ISS on step 33 is 7.6578168469286005, average speed is 7.6579
The calculated speed of the ISS on step 34 is 7.657814758037887, average speed is 7.6579
The calculated speed of the ISS on step 35 is 7.657810242759581, average speed is 7.6579
The calculated speed of the ISS on step 36 is 7.6578058457577916, average speed is 7.6579
The calculated speed of the ISS on step 37 is 7.657801452837737, average speed is 7.6579
The calculated speed of the ISS on step 38 is 7.657799375176415, average speed is 7.6579
The calculated speed of the ISS on step 39 is 7.657794871301477, average speed is 7.6579
The calculated speed of the ISS on step 40 is 7.657790488686515, average speed is 7.6579
The calculated speed of the ISS on step 41 is 7.657786109504196, average speed is 7.6579
The calculated speed of the ISS on step 42 is 7.657784042637405, average speed is 7.6579
The calculated speed of the ISS on step 43 is 7.657779548141863, average speed is 7.6579
The calculated speed of the ISS on step 44 is 7.657775178110963, average speed is 7.6579
The calculated speed of the ISS on step 45 is 7.657770811386391, average speed is 7.6579
The calculated speed of the ISS on step 46 is 7.657766448217767, average speed is 7.6579
The calculated speed of the ISS on step 47 is 7.657764392266828, average speed is 7.6579
The calculated speed of the ISS on step 48 is 7.657759908767316, average speed is 7.6579
The calculated speed of the ISS on step 49 is 7.657755552895685, average speed is 7.6578
The calculated speed of the ISS on step 50 is 7.657751199726706, average speed is 7.6578
The calculated speed of the ISS on step 51 is 7.657749151019257, average speed is 7.6578
The calculated speed of the ISS on step 52 is 7.657744674916029, average speed is 7.6578
The calculated speed of the ISS on step 53 is 7.657740328125221, average speed is 7.6578
The calculated speed of the ISS on step 54 is 7.657735983486503, average speed is 7.6578
The calculated speed of the ISS on step 55 is 7.657733941259603, average speed is 7.6578
The calculated speed of the ISS on step 56 is 7.657729470797254, average speed is 7.6578
The calculated speed of the ISS on step 57 is 7.657725131423284, average speed is 7.6578
The calculated speed of the ISS on step 58 is 7.657720793982275, average speed is 7.6578
The calculated speed of the ISS on step 59 is 7.65771875643771, average speed is 7.6578
The calculated speed of the ISS on step 60 is 7.657714290645257, average speed is 7.6578
The calculated speed of the ISS on step 61 is 7.657709957314175, average speed is 7.6578
The calculated speed of the ISS on step 62 is 7.657705625157404, average speed is 7.6578
